d,o,h,l,c,v
2020-05-17 14:00:00,206.89000000,207.37000000,206.37000000,206.89000000,10599.33750000
2020-05-17 14:30:00,206.93000000,209.75000000,206.61000000,209.02000000,57787.64108000
2020-05-17 15:00:00,209.02000000,209.49000000,207.80000000,208.34000000,22459.27462000
2020-05-17 15:30:00,208.35000000,208.90000000,207.56000000,208.77000000,14704.31941000
2020-05-17 16:00:00,208.78000000,209.21000000,208.02000000,208.23000000,13551.05572000
2020-05-17 16:30:00,208.24000000,208.53000000,207.04000000,207.69000000,10728.08625000
2020-05-17 17:00:00,207.70000000,208.15000000,207.38000000,207.86000000,7209.63588000
2020-05-17 17:30:00,207.84000000,208.30000000,207.70000000,207.99000000,8277.35878000
2020-05-17 18:00:00,208.00000000,208.10000000,207.31000000,207.47000000,4241.90974000
2020-05-17 18:30:00,207.47000000,207.87000000,206.57000000,207.67000000,10699.35989000
2020-05-17 19:00:00,207.65000000,207.76000000,207.15000000,207.64000000,4577.78422000
2020-05-17 19:30:00,207.64000000,208.00000000,207.47000000,207.89000000,5225.66900000
2020-05-17 20:00:00,207.90000000,207.98000000,207.34000000,207.52000000,7170.12559000
2020-05-17 20:30:00,207.53000000,208.11000000,207.33000000,207.96000000,4444.64768000
2020-05-17 21:00:00,207.94000000,209.45000000,207.94000000,209.22000000,10748.66571000
2020-05-17 21:30:00,209.25000000,209.85000000,208.64000000,208.93000000,11229.05322000
2020-05-17 22:00:00,208.93000000,208.96000000,206.12000000,206.55000000,23481.08233000
2020-05-17 22:30:00,206.53000000,207.59000000,206.23000000,207.53000000,10206.24491000
2020-05-17 23:00:00,207.51000000,208.00000000,207.14000000,207.31000000,7252.99369000
2020-05-17 23:30:00,207.31000000,207.39000000,206.40000000,207.00000000,11263.89850000
2020-05-18 00:00:00,207.02000000,209.11000000,207.00000000,208.58000000,14796.97981000
2020-05-18 00:30:00,208.57000000,208.85000000,207.91000000,208.65000000,7104.75735000
2020-05-18 01:00:00,208.58000000,214.43000000,208.13000000,213.71000000,148907.39472000
2020-05-18 01:30:00,213.71000000,215.00000000,212.76000000,214.41000000,54559.57927000
2020-05-18 02:00:00,214.42000000,215.57000000,213.10000000,213.47000000,43364.44310000
2020-05-18 02:30:00,213.49000000,214.95000000,213.48000000,214.54000000,14682.96139000
2020-05-18 03:00:00,214.50000000,216.18000000,214.25000000,214.82000000,30072.46690000
2020-05-18 03:30:00,214.79000000,215.24000000,213.87000000,215.07000000,13977.47916000
2020-05-18 04:00:00,215.10000000,216.84000000,214.55000000,216.01000000,47440.39496000
2020-05-18 04:30:00,216.04000000,217.07000000,215.55000000,216.50000000,28878.66774000
2020-05-18 05:00:00,216.50000000,216.86000000,215.70000000,216.83000000,15338.77355000
2020-05-18 05:30:00,216.85000000,216.96000000,215.31000000,215.55000000,14705.97732000
2020-05-18 06:00:00,215.51000000,216.03000000,213.49000000,215.04000000,30102.57843000
2020-05-18 06:30:00,215.04000000,215.09000000,213.90000000,214.46000000,12805.51726000
2020-05-18 07:00:00,214.44000000,214.90000000,213.85000000,214.88000000,10561.25971000
2020-05-18 07:30:00,214.88000000,214.88000000,213.50000000,214.21000000,19384.53957000
2020-05-18 08:00:00,214.19000000,215.14000000,213.81000000,215.03000000,25291.78880000
2020-05-18 08:30:00,215.03000000,215.29000000,210.60000000,212.31000000,63211.23403000
2020-05-18 09:00:00,212.31000000,212.80000000,211.70000000,212.57000000,24951.51995000
2020-05-18 09:30:00,212.58000000,212.76000000,209.24000000,210.90000000,41128.19132000
2020-05-18 10:00:00,210.85000000,212.39000000,210.52000000,212.30000000,30496.79516000
2020-05-18 10:30:00,212.30000000,212.34000000,211.68000000,211.98000000,14614.14074000
2020-05-18 11:00:00,211.97000000,212.74000000,211.76000000,212.17000000,20768.85308000
2020-05-18 11:30:00,212.11000000,212.33000000,211.74000000,212.03000000,6421.55719000
2020-05-18 12:00:00,212.07000000,212.26000000,211.01000000,211.10000000,13383.25746000
2020-05-18 12:30:00,211.10000000,212.45000000,210.59000000,212.30000000,13387.14282000
2020-05-18 13:00:00,212.32000000,212.92000000,212.11000000,212.27000000,18479.17854000
2020-05-18 13:30:00,212.30000000,212.99000000,212.10000000,212.50000000,10219.93501000
2020-05-18 14:00:00,212.54000000,213.07000000,211.75000000,212.93000000,16994.09291000
2020-05-18 14:30:00,212.92000000,213.13000000,212.25000000,212.68000000,11123.04050000
2020-05-18 15:00:00,212.61000000,212.85000000,211.88000000,211.90000000,9145.43195000
2020-05-18 15:30:00,211.87000000,211.88000000,210.00000000,211.34000000,23630.67565000
2020-05-18 16:00:00,211.34000000,212.05000000,209.12000000,210.08000000,34283.00929000
2020-05-18 16:30:00,210.08000000,212.19000000,208.91000000,211.39000000,26738.21702000
2020-05-18 17:00:00,211.39000000,212.40000000,211.20000000,211.40000000,9416.65678000
2020-05-18 17:30:00,211.43000000,212.11000000,210.41000000,212.06000000,13928.73052000
2020-05-18 18:00:00,212.07000000,212.83000000,211.75000000,212.21000000,13342.98665000
2020-05-18 18:30:00,212.21000000,212.40000000,211.82000000,212.05000000,6685.13033000
2020-05-18 19:00:00,212.06000000,213.46000000,211.82000000,213.27000000,18060.23922000
2020-05-18 19:30:00,213.27000000,213.44000000,212.80000000,213.10000000,10199.87518000
2020-05-18 20:00:00,213.09000000,213.32000000,212.60000000,213.13000000,9902.59456000
2020-05-18 20:30:00,213.13000000,213.19000000,212.65000000,213.01000000,3862.56015000
2020-05-18 21:00:00,213.04000000,213.14000000,212.67000000,212.98000000,7980.34597000
2020-05-18 21:30:00,212.98000000,213.63000000,212.90000000,213.36000000,7037.60041000
2020-05-18 22:00:00,213.37000000,214.80000000,213.02000000,214.73000000,15344.24198000
2020-05-18 22:30:00,214.70000000,215.01000000,214.35000000,214.69000000,11173.35285000
2020-05-18 23:00:00,214.68000000,215.08000000,214.10000000,214.79000000,12952.35082000
2020-05-18 23:30:00,214.73000000,215.31000000,214.50000000,214.91000000,13300.75142000
2020-05-19 00:00:00,214.92000000,215.05000000,212.28000000,212.34000000,26440.59174000
2020-05-19 00:30:00,212.30000000,212.70000000,211.35000000,212.09000000,24420.17556000
2020-05-19 01:00:00,212.05000000,212.40000000,211.70000000,212.12000000,10145.72627000
2020-05-19 01:30:00,212.12000000,212.83000000,211.93000000,212.51000000,7649.78700000
2020-05-19 02:00:00,212.51000000,212.59000000,209.80000000,211.45000000,34104.68557000
2020-05-19 02:30:00,211.48000000,211.95000000,210.80000000,211.80000000,13165.13668000
2020-05-19 03:00:00,211.80000000,212.05000000,211.35000000,211.45000000,10744.61617000
2020-05-19 03:30:00,211.46000000,211.54000000,209.65000000,210.30000000,20037.91198000
2020-05-19 04:00:00,210.32000000,211.05000000,209.45000000,210.89000000,16728.41682000
2020-05-19 04:30:00,210.85000000,211.37000000,210.75000000,210.98000000,10026.34887000
2020-05-19 05:00:00,210.93000000,211.60000000,210.85000000,210.88000000,10191.06154000
2020-05-19 05:30:00,210.85000000,212.50000000,210.85000000,212.41000000,13825.60095000
