d,o,h,l,c,v
2020-05-19 13:30:00,9671.47000000,9686.60000000,9591.13000000,9673.25000000,3501.21525800
2020-05-19 14:00:00,9672.85000000,9736.73000000,9670.68000000,9696.70000000,2445.50711000
2020-05-19 14:30:00,9696.70000000,9712.76000000,9666.00000000,9696.78000000,1057.07317900
2020-05-19 15:00:00,9696.88000000,9736.83000000,9646.69000000,9713.22000000,1601.11241400
2020-05-19 15:30:00,9713.23000000,9721.00000000,9652.88000000,9687.06000000,924.97769300
2020-05-19 16:00:00,9687.06000000,9729.35000000,9665.80000000,9722.00000000,936.06316400
2020-05-19 16:30:00,9721.90000000,9725.00000000,9675.00000000,9692.75000000,660.58071100
2020-05-19 17:00:00,9693.03000000,9714.85000000,9663.00000000,9663.00000000,997.38676100
2020-05-19 17:30:00,9663.00000000,9677.00000000,9622.33000000,9658.97000000,1092.12168800
2020-05-19 18:00:00,9659.50000000,9695.00000000,9646.07000000,9690.58000000,677.67376900
2020-05-19 18:30:00,9690.61000000,9718.43000000,9685.92000000,9698.03000000,850.82989100
2020-05-19 19:00:00,9697.90000000,9718.00000000,9659.31000000,9671.96000000,1005.81299200
2020-05-19 19:30:00,9671.96000000,9686.78000000,9636.88000000,9644.13000000,952.26083900
2020-05-19 20:00:00,9644.92000000,9666.00000000,9620.49000000,9655.18000000,1038.60841900
2020-05-19 20:30:00,9655.18000000,9701.00000000,9652.75000000,9692.04000000,690.39162800
2020-05-19 21:00:00,9692.04000000,9698.20000000,9669.72000000,9695.11000000,476.95160200
2020-05-19 21:30:00,9695.15000000,9700.00000000,9658.46000000,9683.83000000,437.82056600
2020-05-19 22:00:00,9683.83000000,9710.13000000,9656.81000000,9704.12000000,713.32141900
2020-05-19 22:30:00,9704.12000000,9770.00000000,9704.12000000,9756.12000000,1706.32621800
2020-05-19 23:00:00,9756.12000000,9772.41000000,9703.44000000,9734.04000000,890.49846700
2020-05-19 23:30:00,9734.04000000,9794.00000000,9717.03000000,9775.53000000,1131.87334900
2020-05-20 00:00:00,9775.13000000,9800.00000000,9753.35000000,9759.99000000,1629.02266900
2020-05-20 00:30:00,9759.99000000,9773.17000000,9721.83000000,9742.61000000,884.56785100
2020-05-20 01:00:00,9741.85000000,9768.55000000,9730.30000000,9760.14000000,577.62912600
2020-05-20 01:30:00,9760.14000000,9769.00000000,9739.00000000,9744.35000000,656.14564600
2020-05-20 02:00:00,9744.35000000,9749.07000000,9710.14000000,9731.99000000,697.82743900
2020-05-20 02:30:00,9731.99000000,9742.92000000,9707.00000000,9736.04000000,819.29907000
2020-05-20 03:00:00,9736.04000000,9771.39000000,9731.18000000,9757.43000000,768.86785400
2020-05-20 03:30:00,9757.49000000,9774.99000000,9715.79000000,9724.40000000,913.00152700
2020-05-20 04:00:00,9724.09000000,9750.00000000,9696.56000000,9744.51000000,936.52052900
2020-05-20 04:30:00,9744.52000000,9752.61000000,9726.00000000,9735.30000000,496.67712600
2020-05-20 05:00:00,9735.45000000,9754.74000000,9722.87000000,9729.90000000,417.18071100
2020-05-20 05:30:00,9729.89000000,9754.36000000,9715.89000000,9754.36000000,593.28191700
2020-05-20 06:00:00,9754.36000000,9813.00000000,9735.11000000,9801.43000000,1727.62487000
2020-05-20 06:30:00,9801.43000000,9842.00000000,9651.00000000,9724.39000000,3881.73200300
